ID;SID;x;y;z
747;93;17.50;101.75;111.70
748;93;17.50;101.75;111.65
749;93;18.00;101.25;111.70
750;93;18.00;101.25;111.65
751;93;18.00;101.75;111.70
752;93;18.00;101.75;111.65
753;94;17.50;100.75;111.70
754;94;17.50;100.75;111.65
755;94;17.50;101.25;111.70
756;94;17.50;101.25;111.65
757;94;18.00;100.75;111.70
758;94;18.00;100.75;111.65
759;94;18.00;101.25;111.70
760;94;18.00;101.25;111.65
761;95;18.00;100.75;111.70
762;95;18.00;100.75;111.65
763;95;18.00;101.25;111.70
764;95;18.00;101.25;111.65
765;95;18.50;100.75;111.70
766;95;18.50;100.75;111.65
767;95;18.50;101.25;111.70
768;95;18.50;101.25;111.65
769;96;18.00;101.25;111.70
770;96;18.00;101.25;111.65
771;96;18.00;101.75;111.70
772;96;18.00;101.75;111.65
773;96;18.50;101.25;111.70
774;96;18.50;101.25;111.65
775;96;18.50;101.75;111.70
776;96;18.50;101.75;111.65
777;102;16.00;101.75;111.65
778;102;16.00;101.75;111.60
779;102;16.00;102.25;111.65
780;102;16.00;102.25;111.60
781;102;16.50;101.75;111.65
782;102;16.50;101.75;111.60
783;102;16.50;102.25;111.65
784;102;16.50;102.25;111.60
785;103;16.00;102.25;111.65
786;103;16.00;102.25;111.60
787;103;16.00;102.75;111.65
788;103;16.00;102.75;111.60
789;103;16.50;102.25;111.65
790;103;16.50;102.25;111.60
791;103;16.50;102.75;111.65
792;103;16.50;102.75;111.60
793;104;16.50;102.25;111.65
794;104;16.50;102.25;111.60
795;104;16.50;102.75;111.65
796;104;16.50;102.75;111.60
797;104;17.00;102.25;111.65
798;104;17.00;102.25;111.60
799;104;17.00;102.75;111.65
800;104;17.00;102.75;111.60
801;105;16.50;101.75;111.65
802;105;16.50;101.75;111.60
803;105;16.50;102.25;111.65
804;105;16.50;102.25;111.60
805;105;17.00;101.75;111.65
806;105;17.00;101.75;111.60
807;105;17.00;102.25;111.65
808;105;17.00;102.25;111.60
809;112;17.00;101.75;111.65
810;112;17.00;101.75;111.60
811;112;17.00;102.25;111.65
812;112;17.00;102.25;111.60
813;112;17.50;101.75;111.65
814;112;17.50;101.75;111.60
815;112;17.50;102.25;111.65
816;112;17.50;102.25;111.60
817;98;16.00;100.75;111.65
818;98;16.00;100.75;111.60
819;98;16.00;101.25;111.65
820;98;16.00;101.25;111.60
821;98;16.50;100.75;111.65
822;98;16.50;100.75;111.60
823;98;16.50;101.25;111.65
824;98;16.50;101.25;111.60
825;99;16.00;101.25;111.65
826;99;16.00;101.25;111.60
827;99;16.00;101.75;111.65
828;99;16.00;101.75;111.60
829;99;16.50;101.25;111.65
830;99;16.50;101.25;111.60
831;99;16.50;101.75;111.65
832;99;16.50;101.75;111.60
833;100;16.50;101.25;111.65
834;100;16.50;101.25;111.60
835;100;16.50;101.75;111.65
836;100;16.50;101.75;111.60
837;100;17.00;101.25;111.65
838;100;17.00;101.25;111.60
839;100;17.00;101.75;111.65
840;100;17.00;101.75;111.60
841;101;16.50;100.75;111.65
842;101;16.50;100.75;111.60
843;101;16.50;101.25;111.65
844;101;16.50;101.25;111.60
845;101;17.00;100.75;111.65
846;101;17.00;100.75;111.60
847;101;17.00;101.25;111.65
848;101;17.00;101.25;111.60
849;106;17.00;100.75;111.65
850;106;17.00;100.75;111.60
851;106;17.00;101.25;111.65
852;106;17.00;101.25;111.60
853;106;17.50;100.75;111.65
854;106;17.50;100.75;111.60
855;106;17.50;101.25;111.65
856;106;17.50;101.25;111.60
857;107;17.00;101.25;111.65
858;107;17.00;101.25;111.60
859;107;17.00;101.75;111.65
860;107;17.00;101.75;111.60
861;107;17.50;101.25;111.65
862;107;17.50;101.25;111.60
863;107;17.50;101.75;111.65
864;107;17.50;101.75;111.60
865;108;17.50;101.25;111.65
866;108;17.50;101.25;111.60
867;108;17.50;101.75;111.65
868;108;17.50;101.75;111.60
869;108;18.00;101.25;111.65
